RANK;ATHLETE;NATION;Manama A;Riga A;San Salvador A;Luxembourg A;Heraklion A;Udine A;Šabac A;Bâle A;Dubai CHZ;Lagos CHZ;Sochi CHZ;San-Jose CHZ;Verona CHM;TOTAL
180;ALSHAMMARI Fares Fajaa;KUW;4.00;;;;;;;;0.00;;;;2.50;6.50
181;CIMBOREVICS Ernests;LAT;;4.00;;;;;;;;;;;2.50;6.50
182;ENGLISH Alexander;AUS;;;;;;0.00;1.00;;3.00;;;;2.50;6.50
183;RIVERA SANTIAGO Freddie;PUR;;;;;;;;;;;;6.00;;6.00
183;ISAAC Teinor;GHA;;;;;;;;;;6.00;;;;6.00
185;GRIFFITHS Ryan;USA;;0.00;;;;;0.00;;;;;6.00;;6.00
186;VOSOUGHI Mohammadreza;IRI;;;;;;;;;6.00;;;;;6.00
186;OLAGUNJU Zaafir;NGR;;;;;;;;;;6.00;;;;6.00
188;CHALOEMCHANEN Chinnaphat;THA;;;;;;;;;6.00;;;;0.00;6.00
189;CABALLERO Luis;VEN;;;;;;;;;;;;6.00;0.00;6.00
190;LIM Neville Woon Juin;SGP;;;;;;;;;6.00;;;;;6.00
190;OJEDA BUITRAGO Daniel;CRC;;;;;;;;;;;;6.00;;6.00
192;GALPER Stanislav;ISR;;0.00;;;;;;;;;6.00;;0.00;6.00
193;PEREZ CONTRERAS Ignacio;ARG;;;;;;;;0.00;;;;6.00;0.00;6.00
194;LAW Shiu Chung;HKG;;;;;;;;;6.00;;;;0.00;6.00
195;CASTILLO GUTIERREZ Juan Andres;COL;;;;;;0.00;;;;;;6.00;;6.00
196;LOMBANA MARTINEZ Simon;COL;;;;0.00;;;;;;;;6.00;;6.00
197;WU Chun-Ming;TPE;;;;;;;;;6.00;;;;;6.00
198;MAJNIK Roland;HUN;;2.00;;;;0.00;4.00;;;;;;;6.00
199;ALIMOV Sanjar;UZB;;0.00;;;0.00;;0.00;0.00;6.00;;;;;6.00
200;GRAMS Steven;CAN;;;;;;;0.00;;;;;6.00;;6.00
201;KOCHKIN Grigory;RUS;;;;;;;4.00;2.00;;;;;;6.00
202;SANUDO Carlos;MEX;;;;;;;;;;;;6.00;;6.00
203;VAG-URMINSKY Paul Frantisek;CAM;;;;;;;;;6.00;;;;0.00;6.00
204;GONZALEZ Felipe;CHI;;;;;;;;0.00;;;;6.00;0.00;6.00
205;AHMED Saif;UAE;0.00;;;;;;;;6.00;;;;;6.00
206;CROOK Lachlan;AUS;;;;;;2.00;1.00;;3.00;;;;0.00;6.00
207;MATTSSON Axel;SWE;;1.00;;;;2.00;;;;;3.00;;0.00;6.00
208;ALMUWALLAD Waleed;KSA;2.00;;;;;;1.00;;3.00;;;;;6.00
209;RUSSELL James;GBR;;0.00;;0.00;;1.00;2.00;;;;;;2.50;5.50
210;KAM Chun Ho;HKG;;;;;;;;;3.00;;;;2.50;5.50
211;GUSAROV Klim;EST;;0.00;;2.00;;0.00;1.00;;;;0.00;;2.50;5.50
212;ALFHEIM Fabian;NOR;;;;;;;2.00;1.00;;;;;2.50;5.50
213;JUKNA Rokas;LTU;;;;;;;;;;;3.00;;2.50;5.50
214;KOC Franciszek;POL;;0.00;;0.00;4.00;;0.00;1.00;;;;;;5.00
215;MAGLIANO Matteo;ITA;;;;;;1.00;;4.00;;;;;;5.00
216;SALOKAS Arnas;LTU;;0.00;;;;;;2.00;;;3.00;;0.00;5.00
217;LUSTI Hannes;SUI;;0.00;;2.00;1.00;0.00;0.00;2.00;;;;;;5.00
218;AL-MALIKI Hasan;IRQ;2.00;;;;;;;;3.00;;;;0.00;5.00
219;AL-CHAABAWI Zaid;IRQ;2.00;;;;;;;;3.00;;;;;5.00
220;ALMUTERY Ahmed Zeyad;KUW;2.00;0.00;;0.00;;;;;3.00;;;;0.00;5.00
221;KAEMEREIT Maximilian Rubens;GER;;;;;2.00;;2.00;1.00;;;;;;5.00
222;MINCHEV Evgeni;BUL;;;;;;;;;;;;;5.00;5.00
223;SHEPHERD Billy;GBR;;0.00;;2.00;;;0.00;;;;3.00;;;5.00
224;TYCHLER Pavel;RSA;;;;;;;;;;;;;5.00;5.00
225;CHAKAROV Ilia;BUL;;;;;;;2.00;;;;;;2.50;4.50
226;FILIPPOUSIS Ioannis;GRE;;;;;2.00;;0.00;;;;;;2.50;4.50
227;MUELLER Dean;GER;;2.00;;0.00;0.00;0.00;0.00;1.00;;;1.50;;;4.50
228;SAVELAINEN Joonas;FIN;;0.00;;1.00;;0.00;1.00;;;;0.00;;2.50;4.50
229;ESCALANTE RAMIREZ Moises Eduardo;ESA;;;4.00;;;;;;;;;0.00;;4.00
230;SOLA Jakov;CRO;4.00;0.00;;;;0.00;0.00;;;;0.00;;0.00;4.00
231;LOPEZ Edgardo;GUA;;;4.00;;;;;;;;;;;4.00
232;SATHASIVAN NIRMALA Siva Magesh;IND;4.00;;;;;;;;;;;;;4.00
233;JEPPESEN Tobias Overgaard;DEN;4.00;;;0.00;;;;;;;;;;4.00
234;CZIRAKI Balint;HUN;;0.00;;;0.00;4.00;0.00;;;;;;;4.00
235;ABDULLA Abdulla;EGY;4.00;;;;;;;;;;;;;4.00
236;MALLO Axel;FRA;;;;;;4.00;0.00;;;;;;;4.00
237;EL CHOUEIRY Antoine;LBN;4.00;;;;;0.00;;;;;;;0.00;4.00
238;FRANK Timothy;USA;;;;;4.00;;0.00;;;;;;;4.00
239;ALAKKAS Omar;KSA;4.00;;;;;;0.00;;;;;;;4.00
240;BERMEJO Noe;ESP;;0.00;;;;0.00;;4.00;;;;;;4.00
241;ALATAWI Saoud;BRN;4.00;;;;;;;;;;;;;4.00
241;DAROIAN Emon;USA;;4.00;;;;;;;;;;;;4.00
243;MATEVOSOV Artem;UKR;;0.00;;;2.00;;1.00;1.00;;;;;;4.00
244;SAAVALAINEN Ellis;FIN;;1.00;;0.00;;0.00;0.00;;;;3.00;;0.00;4.00
245;MIKHALKOU Pavel;BLR;;1.00;;1.00;;2.00;;;;;;;;4.00
246;VERWAAL Crijn;BEL;2.00;0.00;;2.00;0.00;;0.00;0.00;;;;;;4.00
247;BEAUNES Tristan;FRA;;2.00;;1.00;1.00;;;;;;;;;4.00
248;YAROKH Sviatoslav;UKR;;0.00;;;2.00;;2.00;0.00;;;;;;4.00
249;NAGY Marcell;HUN;;2.00;;;2.00;;;;;;;;;4.00
250;SARVARI Merse;HUN;;1.00;;;1.00;2.00;;;;;;;;4.00
251;HSIEH JAROV Seraphim;CAN;;;;0.00;;;1.00;;;;;;2.50;3.50
252;BUSTOS Joaquin;CHI;;;;;;;;0.00;;;;3.00;0.00;3.00
253;MUMINOV Nodirbek;UZB;;0.00;;;;;0.00;0.00;3.00;;;;;3.00
254;SOBIROV Sanjarbek;UZB;;0.00;;;0.00;;0.00;0.00;3.00;;;;;3.00
255;CASANOVA Felix;CHI;;;;;;;;0.00;;;;3.00;;3.00
256;SZILAGYI Balazs;HUN;;;;;;1.00;2.00;;;;;;;3.00
257;WU Rick;CAN;;;;0.00;;;0.00;;;;;3.00;;3.00
258;KHRIPCHENKO Radion;KGZ;;;;;;;;;3.00;;;;;3.00
259;DOVLETNAZAROV Jumanazar;TKM;;;;;;;;;3.00;;;;;3.00
259;MIRANDA Jeremy;PAN;;;;;;;;;;;;3.00;;3.00
261;CSERE Bence;HUN;;1.00;;;2.00;0.00;0.00;;;;;;;3.00
262;GHASEMI Shahin;IRI;;;;;;;;;3.00;;;;;3.00
263;KALININAS Leonardas;LTU;;0.00;;0.00;0.00;;;;;;3.00;;0.00;3.00
264;OSICKA Adam;CZE;;;;1.00;;2.00;;0.00;;;0.00;;0.00;3.00
265;GKOGKOS Filippos;GRE;;;;;1.00;;2.00;;;;;;0.00;3.00
266;KUMAR Ajay Kumar;IND;;;;;;;;;3.00;;;;;3.00
267;SINGKHAM Nattiphong;THA;;;;;;;;;3.00;;;;0.00;3.00
268;LIN Shu Syuan;TPE;;;;;;;;;3.00;;;;;3.00
269;DAHLBO Benjamin;NOR;;1.00;;;;;2.00;;;;0.00;;0.00;3.00
270;SU Wen Hsien;TPE;;;;;;;;;3.00;;;;;3.00
271;TAN Weixuan;SGP;;;;;;;;;3.00;;;;;3.00
272;NIETO Guillermo;ESP;;;;;;2.00;;1.00;;;;;;3.00
273;ALASMAKH Hassan;KSA;;;;;;;0.00;;3.00;;;;;3.00
274;BAKYTBEK UULU Ilim;KGZ;;;;;;;;;3.00;;;;;3.00
275;GERINI Luca;SUI;;;;;2.00;0.00;1.00;0.00;;;;;;3.00
