RANK;ATHLETE;NATION;Bratislava A; Helsinki A;Teheran A;Lignano Sabbiadoro A;Bâle A;Goteborg A;Budapest A;Anadia A;Pretoria CHZ;Lobnya CHZ;Isla Margarita CHZ;Mer Morte CHM;TOTAL
188;AL-MATAWAH Meshaal;QAT;;;4.00;;;;;;;;;;4.00
189;AVERBUCH Lev;ISR;;;;;;0.00;;4.00;;;;;4.00
190;GOLCHIN Reza;IRI;;;4.00;;;;;;;;;;4.00
191;MELOCCHI Tomaso;ITA;0.00;;;4.00;;0.00;;;;;;;4.00
192;REZAEI Mehdi;IRI;;;4.00;;;;;;;;;;4.00
193;ROKOSZ Krzysztof;POL;0.00;0.00;;;4.00;0.00;0.00;;;;;;4.00
194;JAFARI Hossein;IRI;;;4.00;;;;;;;;;;4.00
195;ARNANZ Adrian;ESP;;;;0.00;0.00;0.00;0.00;4.00;;;;;4.00
196;AHMED Dhahi;IRQ;;;4.00;;;;;;;;;;4.00
196;GASPAROTTI Filippo Maria;ITA;;;;;4.00;;;;;;;;4.00
198;SHEIDAEI Salar;IRI;;;4.00;;;;;;;;;;4.00
199;KITAMURA Naoyuki;JPN;;;;;0.00;4.00;;;;;;;4.00
200;SHOJAEI Mohammad;IRI;;;4.00;;;;;;;;;;4.00
201;NICKELS Alexeij;LUX;0.00;;;4.00;0.00;0.00;0.00;;;0.00;;0.00;4.00
202;TRANDAFIRESCU Ionut;ROU;4.00;;;;;;;;;;;;4.00
202;BILANISHVILI Shalva;GEO;;;4.00;;;;;;;;;;4.00
204;KURASHVILI Anzor;GEO;;;4.00;;;;;;;;;;4.00
205;SMOLKA Mikolaj;POL;4.00;0.00;;;0.00;0.00;0.00;;;;;;4.00
206;LETOURNEUX Frederic;CAN;;;;;;4.00;;;;;;;4.00
206;PEJMAN Masood;IRI;;;4.00;;;;;;;;;;4.00
206;KOMAROMY-POROS Csongor;HUN;;;;;;;4.00;;;;;;4.00
209;LAMPERTZ Guillaume;BEL;0.00;0.00;;0.00;2.00;0.00;0.00;2.00;;;;;4.00
210;LUCANI Quentin;FRA;0.00;;;2.00;2.00;;;;;;;;4.00
211;HANINA Saar;ISR;;2.00;;2.00;;0.00;;;;;;;4.00
212;FRAS Felix;POL;0.00;2.00;;;2.00;0.00;0.00;;;;;;4.00
213;BADGER Peregrine;USA;;2.00;;;2.00;0.00;;;;;;;4.00
214;TANG Oskar;SWE;2.00;2.00;;;;0.00;;;;;;;4.00
215;KISS Gergo;HUN;0.00;;;2.00;;;2.00;;;;;;4.00
216;BODIN Fernando;SWE;;2.00;;;0.00;2.00;;;;;;;4.00
217;FERREIRA Nicolas;BRA;;;;;2.00;2.00;0.00;;;;;0.00;4.00
218;MAKARENKO Allan;EST;;0.00;;;;;;;;3.00;;;3.00
219;EMMANOUIL Georgios;GRE;;;;;;;;;;3.00;;;3.00
220;JOHNSSON Fredrik;SWE;0.00;0.00;;;;0.00;0.00;;;3.00;;;3.00
221;PYK Karl;SWE;;;;;;0.00;;;;3.00;;;3.00
222;CHO TAEUN Sandor;HUN;0.00;;;0.00;;;2.00;;;;;;2.00
223;FAAL Omid;IRI;;;2.00;;;;;;;;;;2.00
224;PALMA Pedro;POR;;;;;;;;2.00;;;;;2.00
224;SEYED KHOJE Abdosatar;IRI;;;2.00;;;;;;;;;;2.00
226;LOURENCO Vasco;POR;;;;;;0.00;;2.00;;;;;2.00
227;FREWIN James;GBR;;;;;;2.00;;;;;;;2.00
227;EIMANI Ali;IRI;;;2.00;;;;;;;;;;2.00
229;BOEHM Constantin;GER;0.00;;;2.00;0.00;0.00;;;;;;;2.00
230;REGIBEAU Gaspard;BEL;0.00;0.00;;;0.00;0.00;0.00;2.00;;;;;2.00
231;ABRAMIUK Danil;RUS;0.00;2.00;;;;;0.00;;;;;;2.00
232;VERHELLE Nicolas;BEL;0.00;0.00;;;0.00;0.00;2.00;;;;;0.00;2.00
233;MURANA Luca;ITA;2.00;;;0.00;0.00;;0.00;;;;;;2.00
234;MANGOLD Simon;GER;0.00;;;0.00;0.00;2.00;;;;;;;2.00
235;KHESIN Alexander;RUS;2.00;0.00;;;;;;;;;;;2.00
236;MANDALIAN Christopher;USA;;;;;2.00;;;;;;;;2.00
237;KORLATH Alexander;AUT;;0.00;;0.00;0.00;0.00;;2.00;;;;;2.00
238;LANGLET Quentin;FRA;;;;;;0.00;2.00;;;;;;2.00
239;NORIS Amedeo;ITA;0.00;;;0.00;;2.00;;;;;;;2.00
240;KAPRAL Martin;SVK;0.00;;;0.00;;2.00;0.00;;;;;;2.00
241;ROK Mateusz;POL;;;;;0.00;0.00;2.00;;;;;;2.00
242;BUREZ Olivier;BEL;0.00;2.00;;;;0.00;0.00;;;;;;2.00
243;OOSTHOF Ryan;NED;0.00;2.00;;0.00;0.00;;0.00;;;;;;2.00
244;TORRES Joao;POR;;;;;;;;2.00;;;;;2.00
245;STALDER Leonard;SUI;2.00;;;0.00;0.00;0.00;;;;;;;2.00
246;BUZZI Lorenzo;ITA;;;;2.00;;;;;;;;;2.00
