RANK;ATHLETE;NATION;Luxembourg A;Kuweit City A;Turku A;San Salvador A;Bratislava A;Bâle A;Riga A;Udine A;Dammam CHZ;Cancun CHZ;Novi Sad CHZ;Bamako CHZ;Bourges CHM;TOTAL
201;OPALKA Michal;POL;4.00;;;;0.00;2.00;;;;;;;;6.00
202;MURAYAMA Kentaro;JPN;;;;;;0.00;;;6.00;;;;;6.00
203;AL-MULLA Khalid;QAT;;;;;;;;;6.00;;;;0.00;6.00
204;DUDUC Alex;SVK;2.00;;;;2.00;0.00;1.00;1.00;;;0.00;;0.00;6.00
205;ALVES Goncalo;POR;;;;;;0.00;;;;;3.00;;2.50;5.50
206;GUTMAN Adi;ISR;;;;;;0.00;;;;;3.00;;2.50;5.50
207;STOLAR Samuel;SVK;0.00;;2.00;;0.00;0.00;0.00;2.00;;;1.50;;0.00;5.50
208;KOPRA Henri;EST;;;1.00;;2.00;0.00;1.00;;;;1.50;;;5.50
209;RECLO Martin;SVK;0.00;;1.00;;2.00;0.00;;0.00;;;0.00;;2.50;5.50
210;VILLALBA Victor;ESP;;4.00;;;;0.00;1.00;;;;;;;5.00
211;DUDAS Balazs;HUN;;;4.00;;0.00;0.00;;1.00;;;;;;5.00
212;JORDAN Owen;GBR;1.00;;0.00;;0.00;4.00;;;;;;;;5.00
213;DE MOLA Daniel;ITA;4.00;;;;;1.00;;0.00;;;;;;5.00
214;LAN Minghao;CHN;;;;;;;;;;;;;5.00;5.00
215;SZEP Marton;ROU;;;;;2.00;;;;;;3.00;;;5.00
216;JURKA Jakub;CZE;1.00;;;;0.00;1.00;;0.00;;;3.00;;0.00;5.00
217;KNECHTL Lukas;AUT;2.00;;;;0.00;1.00;2.00;;;;;;;5.00
218;FRENCH Dylan;CAN;;;;;;0.00;;;;;;;5.00;5.00
219;BRADAC Petr;CZE;2.00;;;;0.00;0.00;;0.00;;;3.00;;0.00;5.00
220;MATTSSON Oliver;FIN;0.00;;1.00;;0.00;2.00;2.00;;;;0.00;;0.00;5.00
221;LEIBA Saar;ISR;;;;;;;;1.00;;;1.50;;2.50;5.00
222;JAHIMOVICS Andris;LAT;;;;;;;2.00;;;;;;2.50;4.50
223;DVARISKIS Edgaras;LTU;;;2.00;;0.00;;1.00;;;;1.50;;0.00;4.50
224;HAZES Luuk;NOR;;;1.00;;1.00;;1.00;0.00;;;1.50;;0.00;4.50
225;ROUSSEL Thomas;CIV;;;;;0.00;4.00;0.00;;;;;;;4.00
226;BALLIVIAN Jose Fernando;BOL;;;;4.00;;;;;;0.00;;;;4.00
227;ALFUDARI Hasan;KUW;;4.00;;;;;;;;;;;;4.00
227;CARLES Antoni Manel;ESP;;;;;;;4.00;;;;;;;4.00
227;OSPINA PEREZ Nicolas;CRC;;;;4.00;;;;;;;;;;4.00
230;ABDELKADER Ahmed;EGY;;4.00;;;;0.00;;0.00;;;;;;4.00
231;SOLA Jakov;CRO;;;;4.00;;;;0.00;;;;;;4.00
232;HENRIQUEZ ANDRES Manuel Rodrigo;ESA;;;;4.00;;;;;;;;;;4.00
232;KUROCHKIN Andrey;RUS;;;;;4.00;;;;;;;;;4.00
234;METWALLY Yasser;EGY;;4.00;;;;;;;;;;;;4.00
234;ORELLANA Diego;GUA;;;;4.00;;;;;;;;;;4.00
236;MEJIA GARCIA Oscar Ariel;ESA;;;;4.00;;;;;;;;;;4.00
237;KOENIGSWIESER Hubert;AUT;;4.00;0.00;;0.00;;;;;;;;;4.00
238;RUIZ BARRANTES Daniel;CRC;;;;4.00;;;;;;;;;;4.00
239;PACAY Carlos;GUA;;;;4.00;;;;;;;;;;4.00
239;KARAM Ali Bader;KUW;;4.00;;;;;;;;;;;;4.00
241;MEFREH Mohab;EGY;;4.00;;;;;;;;;;;;4.00
241;ARCE Alejandro;PAN;;;;4.00;;;;;;;;;;4.00
243;GETS Gleb;RUS;;;;;0.00;0.00;4.00;;;;;;;4.00
244;JORDAN Rene;GER;;;;;0.00;0.00;4.00;0.00;;;;;;4.00
245;MOWAFY Mohab;EGY;;4.00;;;;;;;;;;;;4.00
246;DILIBERTO Luca;ITA;;;;;;;;4.00;;;;;;4.00
247;TRADARDI Eugenio;ITA;;;;;;;4.00;;;;;;;4.00
248;SLATER Philip;IRL;0.00;;0.00;;;;4.00;;;;0.00;;0.00;4.00
249;HESSLEGRAVE Porter;USA;0.00;;4.00;;;;;;;;;;;4.00
250;POLOZHINTSEV Nikolai;RUS;;;2.00;;2.00;;;;;;;;;4.00
251;ALDAWOOD Jawad;KSA;;0.00;1.00;;;;;;3.00;;;;0.00;4.00
252;TOTH Gergely;HUN;;;;;2.00;;;2.00;;;;;;4.00
253;HORSTMANN Manuel-Stephen;GER;2.00;;;;0.00;0.00;1.00;1.00;;;;;;4.00
254;PARIZAT Amit;ISR;;;2.00;;;1.00;;1.00;;;;;;4.00
255;BIANCHI Tiziano;SUI;2.00;;2.00;;0.00;0.00;;;;;;;;4.00
256;BLOMMAERT Felix;BEL;1.00;;1.00;;0.00;0.00;2.00;0.00;;;;;0.00;4.00
257;BITSCH Peter;GER;2.00;;;;0.00;0.00;2.00;;;;;;;4.00
258;ROUDBAR Samuel;BEL;2.00;;1.00;;0.00;0.00;1.00;0.00;;;0.00;;0.00;4.00
259;PIREK Cyril;SUI;2.00;;2.00;;0.00;0.00;;;;;;;;4.00
260;RAZ Ori;ISR;;;;;;0.00;;1.00;;;3.00;;;4.00
261;VAZ Andre;POR;;;;;0.00;0.00;;;;;1.50;;2.50;4.00
262;MACSKA Adam;HUN;;;;;2.00;;;;;;1.50;;;3.50
263;AL-BADER Yousef;QAT;;;;;;;;;3.00;;;;0.00;3.00
264;WONG Kevin;HKG;;;;;;;;;3.00;;;;0.00;3.00
265;AL-SALEHI Saleh Musaed Nasser;YEM;;;;;;;;;3.00;;;;;3.00
266;BAUDUNOV Khasan;UZB;;;;;;;;;3.00;;;;0.00;3.00
267;KHRIPCHENKO Radion;KGZ;;;;;;;;;3.00;;;;;3.00
268;RINSAKUN Suebsakun;THA;;;;;;;;;3.00;;;;;3.00
269;LIM Justin Ren Hsien;SGP;;;;;0.00;;;;3.00;;;;0.00;3.00
270;CHUANG Po Yu;TPE;;;;;;;;;3.00;;;;;3.00
271;ZHANG Heng;CHN;;;;;;;;;3.00;;;;;3.00
272;SINGH Tanishvir;IND;;;;;;;;;3.00;;;;;3.00
