RANK;ATHLETE;NATION;San Salvador A;Bratislava A;Espoo Helsinki A;Teheran A;Udine A;Bâle A;Göteborg A;Budapest A;Guatemala CHZ;Jerusalem CHZ;Le Caire CHZ;Amman CHZ;Plovdiv CHM;TOTAL
269;KELLERMAN Alexandr;KAZ;;;;2.00;;;0.00;0.00;;;;;;2.00
270;VICHI Edoardo;ITA;;;;;;;;2.00;;;;;;2.00
271;HUDEK David;HUN;;;;;;0.00;;2.00;;;;;;2.00
272;CRAMERUS John;USA;;2.00;;;;;;;;;;;;2.00
272;TSERUNYAN Avetis;ARM;;;;2.00;;;;;;;;;;2.00
272;NIKIEL Marcin;POL;;;;;;;;2.00;;;;;;2.00
275;ANTONYUK Pavlo;UKR;;0.00;;;;;;2.00;;;;;;2.00
276;SALAHI Hamed;IRI;;;;2.00;;;;;;;;;;2.00
276;NIKITIN Alen;RUS;;2.00;;;;;;;;;;;;2.00
278;PEPLOW Laurence;GBR;;0.00;0.00;;;0.00;2.00;;;;;;;2.00
279;CONSTANTINESCU Ioan;ROU;;0.00;;;;;;2.00;;;;;;2.00
280;ZABAWA Marek;POL;;0.00;2.00;;;;;0.00;;;;;;2.00
281;VISMARA Federico;ITA;;0.00;;;2.00;;;;;;;;;2.00
282;BADEM Emre;TUR;;;;2.00;;;;0.00;;;;;;2.00
283;CIPAR Jan;SVK;;2.00;;;0.00;;0.00;0.00;;0.00;;;0.00;2.00
284;SCHOBER Maximilian;AUT;;;0.00;;0.00;2.00;;;;;;;;2.00
285;OLIWI Ali;IRQ;;;;2.00;;;;;;;;;;2.00
285;TOTH Gergely;HUN;;;;;;;;2.00;;;;;;2.00
285;PETERDI Bence;HUN;;;;;;;;2.00;;;;;;2.00
288;WORMAN Craig;GBR;;;2.00;;;0.00;;;;;;;;2.00
289;GREALEY William;GBR;;2.00;;;;0.00;0.00;;;;;;;2.00
290;SADEGHIAN Alireza;IRI;;;;2.00;;;;;;;;;;2.00
291;HERNANDEZ TREJO Luis Angel;MEX;;;;;;;0.00;2.00;;;;;;2.00
292;ALI AMAMI Al-Zeyadi;IRQ;;;;2.00;;;;;;;;;;2.00
293;PAAVOLAINEN Jaakko;FIN;;;2.00;;;0.00;0.00;;;;;;;2.00
294;UNTERHAUSER Samuel;GER;;;;;0.00;2.00;0.00;;;;;;;2.00
295;FOAMETE Catalin;ROU;;2.00;;;;;;0.00;;;;;;2.00
296;GIL MARTINEZ Alvaro;ESP;;0.00;;;;;2.00;;;;;;;2.00
297;HOVHANNISYAN Manvel;ARM;;;;2.00;;;;;;;;;;2.00
298;TCHATA Roland;FRA;;;;;2.00;0.00;0.00;;;;;;;2.00
299;TAKAMIYA Arata;JPN;;;;;0.00;;2.00;;;;;;;2.00
300;TIRANDAZ Aria;IRI;;;;2.00;;;;;;;;;;2.00
301;BON Gregory;FRA;;2.00;;;0.00;0.00;0.00;;;;;;;2.00
