RANK;ATHLETE;NATION;Luxembourg A;Manama A;Riga A;San Salvador A;Bratislava A;Bâle A;Espoo Helsinki A;Udine A;La Havane CHZ;Korat CHZ;Plovdiv CHZ;Yamoussoukro CHZ;Plovdiv CHM;TOTAL
237;SONG Heng;CHN;;;;;;;;;;;;;5.00;5.00
238;SOLA Jakov;CRO;1.00;;;;;0.00;0.00;1.00;;;3.00;;0.00;5.00
239;PARK Gyeongho;KOR;;;;;;;;;;;;;5.00;5.00
240;CIMBOREVICS Ernests;LAT;;;2.00;;;;0.00;;;;;;2.50;4.50
241;SAVELAINEN Joonas;FIN;;;2.00;;1.00;0.00;0.00;;;;1.50;;0.00;4.50
242;TAURIAINEN Topias;FIN;;;0.00;;0.00;1.00;2.00;;;;1.50;;0.00;4.50
243;ALAMIRI Ali;BRN;;4.00;;;;;;;;;;;;4.00
244;NIKIEL Marcin;POL;4.00;;;;;;;;;;;;;4.00
245;ALASMAKH Hassan;KSA;;4.00;;;;;;;;;;;0.00;4.00
246;KARPOV Viacheslav;BLR;;;4.00;;0.00;;;;;;0.00;;;4.00
247;MESFER Abdulkareem Abdulla;BRN;;4.00;;;;;;;;;;;;4.00
248;ALHASSONI Matar;BRN;;4.00;;;;;;;;;;;;4.00
249;JOHANIDES Lukas Jakub;SVK;;4.00;;;0.00;0.00;0.00;0.00;;;;;;4.00
250;TYCHLER Pavel;RSA;;;;;;;;4.00;;;;;0.00;4.00
251;RICCI Bernardo;ITA;4.00;;;;;;;;;;;;;4.00
252;AL SULAITI Ali;QAT;;4.00;;;;;;;;0.00;;;0.00;4.00
253;DICKINSON Matthew;GBR;4.00;;0.00;;;0.00;0.00;0.00;;;0.00;;;4.00
254;AL-BADER Yousef;QAT;;4.00;;;;;;;;0.00;;;0.00;4.00
255;GRIFFITHS Ryan;USA;;;;;;4.00;;;;;;;;4.00
256;STEVENS Joshua;GBR;4.00;;;;;0.00;0.00;;;;;;;4.00
257;BERG Mads Peter;DEN;;4.00;;;;;;;;;;;;4.00
257;CHESNOKOV Sergey;RUS;;;;;;;;4.00;;;;;;4.00
259;LUPRANO Victor;SUI;4.00;;0.00;;0.00;0.00;0.00;0.00;;;;;;4.00
260;KILJANDER Oskar;FIN;;;;;;;4.00;;;;0.00;;0.00;4.00
261;THEIN-SANDLER Adrien;USA;2.00;;0.00;;;2.00;;;;;;;;4.00
262;LEIBA Saar;ISR;;;2.00;;;2.00;0.00;;;;;;;4.00
263;MACSKA Adam;HUN;;;;;2.00;;;2.00;;;0.00;;0.00;4.00
264;BANYAI Botond;HUN;;;0.00;;1.00;2.00;;1.00;;;;;;4.00
265;ABATE Riccardo;ITA;2.00;;;;;;2.00;0.00;;;;;;4.00
266;ALVES Goncalo;POR;1.00;;;;;;;;;;3.00;;0.00;4.00
267;CAMMAROTA Alessandro;ITA;2.00;;;;;;;2.00;;;;;;4.00
268;MESZAROS Maximilian;GER;;;2.00;;0.00;0.00;2.00;0.00;;;;;;4.00
269;POSLUSHAEV Danila;RUS;;;2.00;;1.00;1.00;;;;;;;;4.00
270;CHEONG Jefferson Jia Hui;SGP;;;;;0.00;1.00;;;;3.00;;;0.00;4.00
271;MATTSSON Axel;SWE;;;;;2.00;;0.00;;;;1.50;;;3.50
272;RIVERA SANTIAGO Freddie;PUR;;;;;;;;;3.00;;;;;3.00
273;KAM Chun Ho;HKG;;;;;;;;;;3.00;;;0.00;3.00
274;BEAUCHAMP SAALMANN Andre G;PUR;;;;;;;;;3.00;;;;;3.00
274;CHANTHARAPIDOK Tanwa;THA;;;;;;;;;;3.00;;;;3.00
276;MAK Lok Man;HKG;;;;;;;;;;3.00;;;0.00;3.00
277;PEREZ CONTRERAS Ignacio;ARG;;;;;;;;;3.00;;;;0.00;3.00
278;CABALLERO Luis;VEN;;;;;;;;;3.00;;;;;3.00
279;AL ATTABI Mostafa;IRQ;;0.00;;;;;;;;3.00;;;;3.00
280;KHIABANI Aryan;IRI;;;;;;;;;;3.00;;;;3.00
281;IQBAL FAHLEVY Muhammad;INA;;;;;;;;;;3.00;;;;3.00
282;DILIBERTO Luca;ITA;2.00;;;;;;;1.00;;;;;;3.00
283;GREBENNIKOV Sergey;RUS;;;2.00;;1.00;;;;;;;;;3.00
284;GUTMAN Adi;ISR;;;;;;;;;;;3.00;;0.00;3.00
285;CHINGAKHAM Jetlee Singh;IND;;;;;;;;;;3.00;;;;3.00
286;LUMAHAN Darylle Joshua;PHI;;;;;;;;;;3.00;;;;3.00
287;ALMUTERY Ahmed Zeyad;KUW;;;;;;;;;;3.00;;;0.00;3.00
288;LIM Neville Woon Juin;SGP;;;;;;;;;;3.00;;;;3.00
289;SU Wen Hsien;TPE;;;;;;;;;;3.00;;;;3.00
290;MIRKUN Danil;KGZ;;;;;;;;;;3.00;;;;3.00
291;BHATELE Satyam;IND;;;;;;;;;;3.00;;;0.00;3.00
292;HOANG Nhat Nam;VIE;;;;;;;;;;3.00;;;;3.00
