RANK;ATHLETE;NATION;San Salvador A;Bratislava A;Espoo Helsinki A;Teheran A;Udine A;Bâle A;Göteborg A;Budapest A;Ponce CHZ;Budapest CHZ;Porec CHM;TOTAL
262;PIRVULEASA Ovidiu;ROU;;0.00;;;;;;2.00;;;;2.00
263;SUTTER Conrad;USA;;0.00;2.00;;;;;;;;;2.00
264;DELARUE-BIZZINI Bernardo;BRA;;0.00;2.00;;0.00;0.00;0.00;0.00;;;;2.00
265;KOENIGSWIESER Hubert;AUT;;;;;;;2.00;;;0.00;;2.00
266;FARDZINOV Alan;RUS;;;;;;;;2.00;;;;2.00
267;HOGUET Lucas;FRA;;;;;;;2.00;0.00;;;;2.00
268;JOHNSON Julian;USA;;;2.00;;;;;;;;;2.00
269;BUERGER Fabian;GER;;0.00;;;;;;2.00;;;;2.00
270;VAULIN Oleksandr;UKR;;;;;;;;2.00;;;;2.00
271;STEED Oliver;GBR;;0.00;2.00;;;;0.00;;;0.00;;2.00
272;ROUVINEZ Sven;SUI;;0.00;0.00;;;2.00;;0.00;;;;2.00
273;KOENIGSWIESER Justus;AUT;;0.00;0.00;;0.00;2.00;0.00;;;;;2.00
274;LEMAIGRE Guillaume;BEL;;0.00;2.00;;;0.00;0.00;;;;;2.00
275;SALEM James;USA;;2.00;;;;;;;;;;2.00
276;PARIZAT Amit;ISR;;0.00;;;;;2.00;;;;;2.00
277;ZWÖLFER Peter;AUT;;0.00;2.00;;0.00;0.00;0.00;;;;;2.00
278;KAPALA Piotr;POL;;;;;;;;2.00;;;;2.00
279;AREAS MORALES Carlos F.;NCA;0.00;;;;;;;;;;;0.00
280;MIRANDA RODRIGUEZ Ignacio;CRC;0.00;;;;;;;;;;;0.00
281;LIMA Tulio;GUA;0.00;;;;;;;;;;;0.00
282;GODOY Julian;CRC;0.00;;;;;;;;;;;0.00
283;PERKO Julian Raphael;DOM;;;;;;;;;0.00;;;0.00
284;MEJIA RUIZ Gabriel;COL;;;;;;;;;0.00;;;0.00
285;MIRANDA Daniel;CHI;;;;;;;;;0.00;;;0.00
286;MONTEMAGNI Victor;BRA;;;;;;;;;0.00;;;0.00
287;ALI AMAMI Al-Zeyadi;IRQ;;;;0.00;;;;;;;;0.00
288;ETEMADI Matin;IRI;;;;0.00;;;;;;;;0.00
289;ALSHEIKHYOUSEF Nidal;JOR;;;;0.00;;;;;;;;0.00
290;NOROUZI Mahdi;IRI;;;;0.00;;;;;;;;0.00
291;AL SHAMMARI Hamad;QAT;;;;0.00;;;;;;;;0.00
292;AL-DOSARI Mohammed;QAT;;;;0.00;;;;;;;;0.00
293;WISAM Oleiwi;IRQ;;;;0.00;;;;;;;;0.00
293;OLIWI Ali;IRQ;;;;0.00;;;;;;;;0.00
295;SHAHBAZI Pouria;IRI;;;;0.00;;;;;;;;0.00
296;TSERUNYAN Avetis;ARM;;;;0.00;;;;;;;;0.00
297;JABRAYILOV Faig;AZE;;;;0.00;;;;;;;;0.00
298;AHMED Dhahi;IRQ;;;;0.00;;;;;;;;0.00
299;SANCHEZ Cristian;VEN;;0.00;;;;;;0.00;;;0.00;0.00
300;RIEDEL Alexander;GER;;0.00;;;0.00;0.00;0.00;;;;;0.00
301;SUN Jiajie;CHN;;;;;;;;;;;0.00;0.00
302;BONTES Tom;NED;;0.00;0.00;;;;;;;;;0.00
303;MARIN RODRIGUEZ Ignacio;ESP;;;;;;0.00;;;;;;0.00
304;BOGOVIC Maurizio;CRO;;0.00;;;0.00;;;;;0.00;0.00;0.00
305;IHAB Omar;EGY;;;;;;;0.00;0.00;;;;0.00
306;FAYEZ Sherif;EGY;;;;;;;;;;;0.00;0.00
306;HANAHAN Nicholas;USA;;;;;0.00;;;;;;;0.00
308;ZORZATO Daniele;SUI;;0.00;0.00;;0.00;0.00;;;;;;0.00
309;SURANO Alvaro;ESP;;;0.00;;;0.00;0.00;;;;;0.00
310;CONCA DIOGUARDI Giacomo Saverio;ITA;;;;;;;0.00;;;;;0.00
311;EDWARDS Thomas;GBR;;0.00;0.00;;0.00;;0.00;;;;;0.00
312;SIMONI Pierre;FRA;;0.00;;;;0.00;;0.00;;;;0.00
313;TSUE Aoi;JPN;;;;;;;0.00;;;;;0.00
313;HUTAR Daniel;CZE;;0.00;;;;;;;;;;0.00
