RANK;ATHLETE;NATION;San Salvador A;San-Juan A;Luxembourg A;Burgos A;Udine A;Maalot A;Bratislava A;Dijon A;Alger CHZ;Foggia CHZ;Bogota CHZ;Amman CHZ;TORUN CHM;TOTAL
196;DELOS SANTOS Jaymi;PHI;;;;;;;;;;;;6.00;;6.00
197;LEE Bik Gwan;HKG;;;;;;;;;;;;6.00;0.00;6.00
198;AGUILAR Claudia;MEX;;;;;;;;;;;6.00;;0.00;6.00
199;GETTUEVA Ekaterina;KGZ;;;;;;;;;;;;6.00;;6.00
200;VALBUENA BEDOYA Braiana;COL;;;;;;;;;;;6.00;;;6.00
201;SHEFFIELD Lake;USA;;4.00;1.00;;;;1.00;;;;;;;6.00
202;DIAZ Nivia;PAN;;;;;;;;;;;6.00;;;6.00
202;DALAL Sheetal;IND;;;;;;;;;;;;6.00;;6.00
204;SUVONOVA Jasmina;UZB;;;;;;;;;;;;6.00;;6.00
205;REYES CARRERAS Daniela;PUR;;0.00;;;;;;;;;6.00;;;6.00
206;OYA Nichika;JPN;;4.00;;2.00;;;;;;;;;;6.00
207;ABOU JAOUDE Marie Joe;LBN;;;;;;;;;;;;6.00;;6.00
208;MASSEREY Solene;SUI;;;2.00;1.00;0.00;;2.00;1.00;;;;;;6.00
209;AZNAR Laura;ESP;;;;0.50;;;;;;3.00;;;2.50;6.00
210;LOUIS Avery;GBR;;;0.50;2.00;0.00;;0.25;0.00;;0.00;;;2.50;5.25
211;ZUGASTI Paula;ESP;;;;0.25;;;;0.00;;;;;5.00;5.25
212;GALPER Eva;ISR;;;;1.00;;4.00;0.00;;;;;;;5.00
213;GENTILE Francesca;ITA;;;;;4.00;;;1.00;;;;;;5.00
214;MAJDANDZIC Andrea;CRO;;;;;;;;;;;;;5.00;5.00
215;LOPEZ DE LA PENA Paula;ESP;;;;0.50;;;0.25;1.00;;3.00;;;;4.75
216;CONRAD Anastasia;SUI;;;2.00;2.00;0.50;;0.25;0.00;;;;;;4.75
217;MOTTAZ Celine;SUI;;;1.00;0.25;1.00;;0.50;2.00;;;;;;4.75
218;ALEXANDROVA Diana;RUS;;;;;;4.00;0.50;;;;;;;4.50
219;VILCANE Jana;LAT;;;;;;2.00;;;;;;;2.50;4.50
220;KAWENCKA Ewa;POL;;;0.50;0.00;;;2.00;2.00;;;;;;4.50
221;JIMENEZ CEBADA Ana Isabel;ESP;;;;0.00;;;0.50;1.00;;3.00;;;;4.50
222;SASVARIOVA Laura;SVK;;;0.00;;1.00;;;1.00;;;;;2.50;4.50
223;CHIBA Kei;JPN;;4.00;;;;;0.25;;;;;;;4.25
224;WINYA Warisa;THA;;;;;;;;;;;;3.00;1.25;4.25
225;TAN Aaliyaa Shu Qi;SGP;;;;;;;;;;;;3.00;1.25;4.25
226;KOLBINGER Brenda;GER;;;0.00;2.00;2.00;;0.25;;;;;;;4.25
227;HEINZ Vanessa;GER;;;2.00;0.00;2.00;;0.25;0.00;;;;;;4.25
228;MINNULLINA Ella;RUS;;;;;;;4.00;;;;;;;4.00
228;ENO Megan;USA;;4.00;;;;;;;;;;;;4.00
230;YAKOBSON Michelle;ISR;;;;;;4.00;;;;;;;;4.00
230;GRIMSHAW Rose;GBR;;4.00;;;;;;;;;;;;4.00
232;HASUI Hina;JPN;;4.00;;;;;;;;;;;;4.00
233;KO Yein;KOR;;;;4.00;;;;;;;;;;4.00
234;MARUYAMA Sakura;JPN;;4.00;;;;;;;;;;;;4.00
235;ARAI Hiyori;JPN;;4.00;;;;;;;;;;;;4.00
236;RAUSCH Ariana;USA;;;2.00;;;;2.00;;;;;;;4.00
237;SIVA KUMAR Thhivya Ashti;SGP;;;;;1.00;;;;;;;3.00;0.00;4.00
238;ROSSATTI Emilia;ITA;;;;;2.00;;;2.00;;;;;;4.00
239;NAGAI Anna;JPN;;;;2.00;;;2.00;;;;;;;4.00
240;LENTZ Helena;GER;;;;;0.00;;2.00;2.00;;;;;;4.00
241;LUNA Alessandra;SUI;;;1.00;;2.00;;0.00;1.00;;;;;;4.00
242;HENDERSON-ROE Maia;GBR;;;2.00;0.50;1.00;;;;;0.00;;;0.00;3.50
